x_metres,y_metres,z_metres
2.444508373013296598e+00,-9.326769509832251170e-01,7.506913185119628906e+00
2.713101663305741873e+00,-9.132461836395494581e-01,7.350519180297851562e+00
3.032622204899524831e+00,-9.132461836395494581e-01,7.350519180297851562e+00
3.423464923335395760e+00,-9.326769509832251170e-01,7.506913185119628906e+00
3.671663288087091637e+00,-9.132461836395494581e-01,7.350519180297851562e+00
2.859355618116592446e+00,-6.542659314497362155e-01,5.266043663024902344e+00
2.586422734621057984e+00,-5.479477338810878617e-01,4.410311698913574219e+00
2.743836907530246005e+00,-5.411829082788526257e-01,4.355863094329833984e+00
3.085555641337078825e+00,-5.692963284239679345e-01,4.582141876220703125e+00
-7.672863795100547613e+00,-9.193170983187941570e-01,1.138144874572753906e+01
-6.953806190026910805e+00,-8.905884630686491388e-01,1.102577877044677734e+01
-7.399457654443388321e+00,-1.017815397368658337e+00,1.260089015960693359e+01
-6.394927639973621680e+00,-9.499610426795087603e-01,1.176083087921142578e+01
-3.677309168569923958e+00,-5.937256420457661665e-01,7.350519180297851562e+00
-2.442028191357125344e+00,-4.318004844495152428e-01,5.345832347869873047e+00
-1.822960930067879293e+00,-3.562354006337427603e-01,4.410311698913574219e+00
-1.838026523381160793e+00,-4.013919866097326317e-01,4.969365119934082031e+00
-5.483947700400870318e+00,-1.357087247845821576e+00,1.680118751525878906e+01
-3.565211113862612802e+00,-1.017815397368658337e+00,1.260089015960693359e+01
-1.594130643629184219e+00,-5.377137890225807126e-01,6.657073974609375000e+00
-1.440665377413441028e+00,-5.937256420457661665e-01,7.350519180297851562e+00
-9.784536709300630797e-01,-5.181605582299936286e-01,6.414998531341552734e+00
-8.186801280603677178e-01,-6.063581008758586188e-01,7.506913185119628906e+00
-4.821037526320912092e-01,-5.937256420457661665e-01,7.350519180297851562e+00
-1.625832110383079454e-01,-5.937256420457661665e-01,7.350519180297851562e+00
1.537345280988476059e-01,-5.816087929941322621e-01,7.200508594512939453e+00
4.667342427361799162e-01,-5.816087929941322621e-01,7.200508594512939453e+00
7.797339573735123652e-01,-5.816087929941322621e-01,7.200508594512939453e+00
1.115498955336825304e+00,-5.937256420457661665e-01,7.350519180297851562e+00
1.405733386648176930e+00,-5.816087929941322621e-01,7.200508594512939453e+00
1.718733101285509379e+00,-5.816087929941322621e-01,7.200508594512939453e+00
1.991098189204690394e+00,-5.699766256077053450e-01,7.056498527526855469e+00
2.393581121711958470e+00,-5.937256420457661665e-01,7.350519180297851562e+00
2.713101663305741873e+00,-5.937256420457661665e-01,7.350519180297851562e+00
3.032622204899524831e+00,-5.937256420457661665e-01,7.350519180297851562e+00
3.423464923335395760e+00,-6.063581008758586188e-01,7.506913185119628906e+00
3.671663288087091637e+00,-5.937256420457661665e-01,7.350519180297851562e+00
2.993387872260655946e+00,-4.452942315343245694e-01,5.512889385223388672e+00
2.586422734621057984e+00,-3.562354006337427603e-01,4.410311698913574219e+00
2.710375573404372851e+00,-3.475467191738976225e-01,4.302742958068847656e+00
